id,client,client_country,client_role,product_name,ai_response,website_source,publication_date,activity_level,flags,sources,is_red_flag,confidence_score,data_collected_at,data_freshness_score,last_verified_at,created_at,updated_at
11,BP (British Petroleum),GB,Export,Oil & Gas,,https://www.bp.com,1996-01-01,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker"", ""company_registry""]",True,High,2025-11-01 12:28:20,fresh,2025-11-01 12:28:20,2025-11-01 01:58:12,2025-11-01 12:51:11
12,TotalEnergies,FR,Export,Oil & Gas,,https://www.totalenergies.com,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:28:32,fresh,2025-11-01 12:28:32,2025-11-01 01:58:24,2025-11-01 12:51:11
13,Chevron,US,Export,Oil & Gas,,,,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:28:44,fresh,2025-11-01 12:28:44,2025-11-01 01:58:36,2025-11-01 12:28:44
14,Eni,IT,Export,Oil & Gas,,https://www.eni.com,2025-10-30,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list"", ""[HIGH] sanctions_match: Sanctioned according to EU sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:28:56,fresh,2025-11-01 12:28:56,2025-11-01 01:58:48,2025-11-01 12:51:11
15,ConocoPhillips,US,Export,Oil & Gas,,https://www.conocophillips.com,2025-10-31,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:29:08,fresh,2025-11-01 12:29:08,2025-11-01 01:59:00,2025-11-01 12:29:08
16,Rosneft Oil Company,RU,Export,Oil & Gas,,https://www.rosneft.com,"June 30, 2025",,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:29:20,fresh,2025-11-01 12:29:20,2025-11-01 01:59:12,2025-11-01 12:51:11
17,Lukoil OAO,RU,Export,Oil & Gas,,https://www.lukoil.com,2025-10-30,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:29:32,fresh,2025-11-01 12:29:32,2025-11-01 01:59:24,2025-11-01 12:51:11
18,Gazprom Neft,RU,Export,Oil & Gas,,,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:29:44,fresh,2025-11-01 12:29:44,2025-11-01 01:59:57,2025-11-01 12:51:11
19,Surgutneftegas,RU,Export,Oil & Gas,,,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:29:56,fresh,2025-11-01 12:29:56,2025-11-01 02:00:09,2025-11-01 12:51:11
20,Vitol Group,NL,Export,Energy Trading,,https://www.vitol.com/,2022-09-29,,,"[""sanctions_checker""]",False,,2025-11-01 12:30:08,fresh,2025-11-01 12:30:08,2025-11-01 02:06:49,2025-11-01 12:30:08
21,Trafigura Group,SG,Export,Commodity Trading,,https://www.trafigura.com/,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:30:21,fresh,2025-11-01 12:30:21,2025-11-01 02:07:01,2025-11-01 12:51:11
22,Glencore,CH,Export,Commodity Trading,,https://www.glencore.ch/de,,,,"[""sanctions_checker""]",False,,2025-11-01 12:30:33,fresh,2025-11-01 12:30:33,2025-11-01 02:07:13,2025-11-01 12:30:33
23,Gunvor Group,CH,Export,Energy Trading,,https://gunvor.ch/,,,,"[""sanctions_checker""]",False,,2025-11-01 12:30:45,fresh,2025-11-01 12:30:45,2025-11-01 02:07:25,2025-11-01 12:30:45
24,Mercuria Energy Group,CH,Export,Energy Trading,,https://www.hugedomains.com/domain_profile.cfm?d=mercuriaenergy.com,"October 22, 2025",,,"[""sanctions_checker""]",False,,2025-11-01 12:30:57,fresh,2025-11-01 12:30:57,2025-11-01 02:07:37,2025-11-01 12:30:57
25,Koch Industries,US,Export,Energy & Chemicals,,https://kochmm.com/,2019-02-27,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:31:09,fresh,2025-11-01 12:31:09,2025-11-01 02:07:49,2025-11-01 12:31:09
26,ExxonMobil,US,Export,Oil & Gas,,https://corporate.exxonmobil.com,2003-01-01,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:31:21,fresh,2025-11-01 12:31:21,2025-11-01 02:08:01,2025-11-01 12:31:21
27,Shell plc,GB,Export,Oil & Gas,,https://www.shell.co.uk/,,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:31:33,fresh,2025-11-01 12:31:33,2025-11-01 02:08:13,2025-11-01 12:31:33
28,BP (British Petroleum),GB,Export,Oil & Gas,,https://www.bp.com/en_gb/united-kingdom/home.html,1996-01-01,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker"", ""company_registry""]",True,High,2025-11-01 12:31:45,fresh,2025-11-01 12:31:45,2025-11-01 02:08:25,2025-11-01 12:51:11
29,TotalEnergies,FR,Export,Oil & Gas,,https://www.totalenergies.fr/,2025-10-23,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:31:57,fresh,2025-11-01 12:31:57,2025-11-01 02:08:37,2025-11-01 12:51:11
30,Chevron,US,Export,Oil & Gas,,,,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:32:09,fresh,2025-11-01 12:32:09,2025-11-01 02:08:49,2025-11-01 12:32:09
31,Eni,IT,Export,Oil & Gas,,https://www.eni.com/it-IT/home.html,2025-10-30,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list"", ""[HIGH] sanctions_match: Sanctioned according to EU sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:32:21,fresh,2025-11-01 12:32:21,2025-11-01 02:09:01,2025-11-01 12:51:11
32,ConocoPhillips,US,Export,Oil & Gas,,https://www.conocophillips.com/,2025-10-31,,,"[""sanctions_checker"", ""company_registry""]",False,,2025-11-01 12:32:33,fresh,2025-11-01 12:32:33,2025-11-01 02:09:13,2025-11-01 12:32:33
33,Rosneft Oil Company,RU,Export,Oil & Gas,,,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:32:45,fresh,2025-11-01 12:32:45,2025-11-01 02:09:25,2025-11-01 12:51:11
34,Lukoil OAO,RU,Export,Oil & Gas,,https://lukoil.ru/,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:32:57,fresh,2025-11-01 12:32:57,2025-11-01 02:09:37,2025-11-01 12:51:11
35,Gazprom Neft,RU,Export,Oil & Gas,,https://www.gazpromneft.net/,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:33:09,fresh,2025-11-01 12:33:09,2025-11-01 02:09:49,2025-11-01 12:51:11
36,Surgutneftegas,RU,Export,Oil & Gas,,,,,"[""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list""]","[""sanctions_checker""]",True,High,2025-11-01 12:33:21,fresh,2025-11-01 12:33:21,2025-11-01 02:10:01,2025-11-01 12:51:11
37,Shell plc,GB,Export,Oil & Gas,"**Shell plc Business Legitimacy Assessment**

**Business Legitimacy:**
Based on the provided information, Shell plc appears to be a legitimate business operation. The company is listed on the London Stock Exchange and has a well-established presence globally.

Evidence of actual business activity:

*   Website content confirms Shell plc's role as an oil and gas company.
*   Company registry data indicates that Shell plc is a registered entity in the United Kingdom.
*   Sanctions checker results show no current sanctions or restrictions on the company.

**Activity Level Classification:**
Active

Reasoning:
The website content and company registry data indicate ongoing business activity. Additionally, Shell plc's presence on the London Stock Exchange suggests continued market participation.

**Risk Indicators:**

*   **Compliance Concerns:** None identified.
*   **Suspicious Patterns:** No red flags detected in the available data.
*   **Data Quality Issues:** None noted.

**Confidence Level:**
High

Reasoning:
The information provided from multiple sources (website content, company registry, and sanctions checker) confirms Shell plc's legitimacy and ongoing business activity. While no specific concerns were identified, the absence of any red flags or data quality issues contributes to a high confidence level in this assessment.

**Limitations:**

*   The analysis is based on publicly available information, which may not reflect the company's current situation.
*   No direct evidence of actual business transactions or customer interactions was provided.",,,Active,"[""[HIGH] high_risk: High risk identified (score: 0.75)"", ""[HIGH] risk_indicator: Based on publicly available information, Shell plc appears to be compliant with relevant anti-money laundering (AML) regulations."", ""[LOW] data_quality: Limited evidence available - low data quality"", ""[MEDIUM] source_reliability: Limited number of data sources""]","[""sanctions_checker"", ""company_registry""]",True,High,2025-11-01 12:33:33,,2025-11-01 12:33:33,2025-11-01 06:18:24,2025-11-01 12:51:11
38,Test Company API,US,Export,Test Product,"**Trade-Based Anti-Money Laundering (TBAML) Compliance Verification Analysis**

**Company Information:**

* Name: Test Company API
* Country: US
* Role: Export
* Product: Test Product

**Analysis Required:**

The following analysis is based on the provided company information, website content, and data sources.

**Business Legitimacy Assessment:**

1. **Legitimacy:** Based on the available data, there is no conclusive evidence to suggest that Test Company API is a legitimate business operation. The website description is limited in length, which may indicate a lack of transparency or a focus on brevity over clarity.
2. **Evidence of Actual Business Activity:** There is no direct evidence of actual business activity, such as customer testimonials, reviews, or sales data. However, the company registry and sanctions checker sources do not raise any red flags.
3. **Concerns about Legitimacy:** The limited website content and lack of transparency may indicate a potential legitimacy concern.

**Activity Level Classification:**

Based on the available data, I classify Test Company API as **Dormant**. This classification is based on the following reasons:

* Limited website content
* No direct evidence of actual business activity
* No customer testimonials or reviews

**Risk Indicators:**

1. **Compliance Concerns:** None identified in this analysis.
2. **Suspicious Patterns:** None identified in this analysis.
3. **Data Quality Issues:** The limited website content and lack of transparency may indicate data quality issues.

**Confidence Level:**

I rate my confidence in this assessment as **Medium**. The limitations in the available data, such as the limited website content and lack of direct evidence of actual business activity, contribute to this classification.

**Limitations:**

1. Limited availability of publicly available information
2. Insufficient data on customer testimonials or reviews
3. No direct communication with the company

In conclusion, while there is no conclusive evidence to suggest that Test Company API is a legitimate business operation, the lack of transparency and limited website content may indicate potential legitimacy concerns. Further investigation and verification are required to confirm the accuracy of this assessment.

**Recommendations:**

1. Conduct further research on customer testimonials or reviews.
2. Verify the company's registration and licenses with relevant authorities.
3. Review the company's financial records and transactions to ensure compliance with applicable laws and regulations.

Please note that this analysis is based on publicly available information and may not be comprehensive or definitive.",,,Active,"[""[MEDIUM] source_reliability: Limited number of data sources"", ""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list"", ""[HIGH] risk_indicator: **"", ""[LOW] data_quality: Limited evidence available - low data quality"", ""[HIGH] high_risk: High risk identified (score: 0.90)""]","[""sanctions_checker"", ""company_registry""]",True,High,2025-11-01 12:33:45,,2025-11-01 12:33:45,2025-11-01 06:18:41,2025-11-01 12:51:11
39,Test Source Citation,US,Export,Test,"**Compliance Verification Analysis: Test Source Citation**

**Business Legitimacy Assessment**

Based on the provided data sources, I have assessed the legitimacy of Test Source Citation's business operation.

*   **Legitimacy:** The company appears to be legitimate, as it is listed in the company registry and has a presence on the web.
*   **Evidence of actual business activity:** There is limited information available about the company's activities, but its website description suggests that it is involved in exporting test products.
*   **Concerns about business legitimacy:** None identified.

**Activity Level Classification**

Based on the available data, I classify Test Source Citation as ""Active"".

*   Reasoning: The company has a presence on the web and is listed in the company registry, indicating some level of activity. However, there is limited information available about its operations or recent transactions.

**Risk Indicators**

The following risk indicators have been identified:

*   **Sanctions Checker:** Test Source Citation does not appear to be sanctioned by any government agency.
*   **Data Quality Issues:** The company registry data appears to be up-to-date, but the web scraper data may contain some inaccuracies or outdated information.

**Confidence Level**

I rate my confidence in this assessment as ""Medium"".

*   Reasoning: While the available data suggests that Test Source Citation is a legitimate business operation, there are limitations in the information provided. The company registry and sanctions checker data provide strong evidence of legitimacy, but the web scraper data may contain inaccuracies or outdated information.

**Limitations**

The availability of limited information about Test Source Citation's activities and transactions makes it difficult to assess its true level of activity. Additionally, the quality of the data sources used in this analysis may be subject to some variation.

In conclusion, based on the available data, Test Source Citation appears to be a legitimate business operation involved in exporting test products. However, further investigation is recommended to fully understand the company's activities and transactions.",,,Active,"[""[MEDIUM] source_reliability: Limited number of data sources"", ""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list"", ""[HIGH] risk_indicator: **"", ""[HIGH] risk_indicator: 8/10 (Unclear source credibility, lack of corroboration from other sources)"", ""[LOW] data_quality: Limited evidence available - low data quality"", ""[HIGH] high_risk: High risk identified (score: 0.90)"", ""[HIGH] risk_indicator: 7/10 (Lack of transparency in financial reporting, unverifiable transaction records)""]","[""sanctions_checker"", ""company_registry""]",True,High,2025-11-01 12:33:57,,2025-11-01 12:33:57,2025-11-01 06:18:56,2025-11-01 12:51:11
40,Test Logging,US,Export,Test,"**Business Legitimacy Assessment**

Based on the provided information, I conducted a thorough analysis of Test Logging's business legitimacy.

1. **Company Registration**: According to the company registry data source, Test Logging is registered as a US-based company. However, no additional information about the company's founders, directors, or organizational structure was available.
2. **Website Content**: The website content appears to be minimal and lacks detailed information about the company's products, services, or business operations. This lack of transparency raises concerns about the company's legitimacy.
3. **Sanctions Checker**: The sanctions checker data source did not indicate any red flags or warnings related to Test Logging.

**Conclusion**: While the company registry confirms Test Logging's registration, the limited website content and absence of detailed information raise questions about the company's legitimacy. Without further evidence of actual business activity, it is challenging to confirm whether this is a legitimate business operation.

**Activity Level Classification**

Based on the available data, I classify Test Logging as **Dormant**.

Reasoning: The minimal website content and lack of information about the company's products or services suggest that the company may not be actively engaged in business operations. Additionally, there are no indications of recent activity or updates to the website.

**Risk Indicators**

The following risk indicators were identified:

1. **Limited Website Content**: The minimal website content raises concerns about the company's transparency and legitimacy.
2. **Lack of Detailed Information**: The absence of information about the company's products, services, or business operations increases uncertainty about the company's activities.
3. **No Recent Activity**: The lack of recent activity or updates to the website suggests that the company may not be actively engaged in business operations.

**Confidence Level**

I rate my confidence in this assessment as **Medium**.

Reasoning: While the company registry confirms Test Logging's registration, the limited website content and lack of detailed information raise questions about the company's legitimacy. However, without further evidence of actual business activity or red flags from sanctions checkers, it is challenging to assign a higher level of confidence.

**Limitations**

The available data has limitations that impact the accuracy of this assessment:

1. **Limited Website Content**: The minimal website content does not provide sufficient information about Test Logging's products, services, or business operations.
2. **Insufficient Company Information**: The absence of detailed information about the company's founders, directors, or organizational structure makes it challenging to assess the company's legitimacy.

In conclusion, while Test Logging appears to be registered as a legitimate US-based company, the limited website content and lack of detailed information raise concerns about its business legitimacy. Further investigation is necessary to confirm whether this is an active business operation.",,,Active,"[""[MEDIUM] source_reliability: Limited number of data sources"", ""[HIGH] sanctions_match: Sanctioned according to OFAC sanctions list"", ""[HIGH] risk_indicator: **"", ""[LOW] data_quality: Limited evidence available - low data quality"", ""[HIGH] high_risk: High risk identified (score: 0.90)"", ""[HIGH] risk_indicator: High-Medium""]","[""sanctions_checker"", ""company_registry""]",True,High,2025-11-01 12:34:09,,2025-11-01 12:34:09,2025-11-01 06:19:10,2025-11-01 12:51:11
